 prn_code |     pfn_name     | fc |  cnt  
 350000   | 福建省           | 1  |     6
 350000   | 福建省           | 2  |   244
 350000   | 福建省           | 3  |  1019
 350000   | 福建省           | 4  |  2267
 350000   | 福建省           | 5  |  8889
 360000   | 江西省           | 2  |   263
 360000   | 江西省           | 3  |   807
 360000   | 江西省           | 4  |  3280
 360000   | 江西省           | 5  |  8206
 370000   | 山东省           | 1  |    16
 370000   | 山东省           | 2  |   403
 370000   | 山东省           | 3  |  4149
 370000   | 山东省           | 4  | 12422
 370000   | 山东省           | 5  | 34599
 410000   | 河南省           | 1  |     3
 410000   | 河南省           | 2  |   321
 410000   | 河南省           | 3  |  1331
 410000   | 河南省           | 4  |  6324
 410000   | 河南省           | 5  | 23173
 420000   | 湖北省           | 1  |     5
 420000   | 湖北省           | 2  |   282
 420000   | 湖北省           | 3  |   991
 420000   | 湖北省           | 4  |  3825
 420000   | 湖北省           | 5  | 14633
 430000   | 湖南省           | 1  |     3
 430000   | 湖南省           | 2  |   196
 430000   | 湖南省           | 3  |   897
 430000   | 湖南省           | 4  |  2786
 430000   | 湖南省           | 5  | 11393
 440000   | 广东省           | 1  |    50
 440000   | 广东省           | 2  |   717
 440000   | 广东省           | 3  |  2592
 440000   | 广东省           | 4  | 12384
 440000   | 广东省           | 5  | 28694
 450000   | 广西壮族自治区   | 1  |     1
 450000   | 广西壮族自治区   | 2  |   289
 450000   | 广西壮族自治区   | 3  |   574
 450000   | 广西壮族自治区   | 4  |  1419
 450000   | 广西壮族自治区   | 5  |  7459
 460000   | 海南省           | 1  |    16
 460000   | 海南省           | 2  |    63
 460000   | 海南省           | 3  |   299
 460000   | 海南省           | 4  |   543
 460000   | 海南省           | 5  |  1870
 500000   | 重庆市           | 1  |     4
 500000   | 重庆市           | 2  |   141
 500000   | 重庆市           | 3  |   598
 500000   | 重庆市           | 4  |  1319
 500000   | 重庆市           | 5  |  6940
 510000   | 四川省           | 1  |    11
 510000   | 四川省           | 2  |   341
 510000   | 四川省           | 3  |  1124
 510000   | 四川省           | 4  |  5118
 510000   | 四川省           | 5  | 22850
 520000   | 贵州省           | 1  |    19
 520000   | 贵州省           | 2  |   200
 520000   | 贵州省           | 3  |   763
 520000   | 贵州省           | 4  |   979
 520000   | 贵州省           | 5  |  5015
 530000   | 云南省           | 1  |    21
 530000   | 云南省           | 2  |   220
 530000   | 云南省           | 3  |   515
 530000   | 云南省           | 4  |  2088
 530000   | 云南省           | 5  |  8347
 540000   | 西藏自治区       | 1  |    13
 540000   | 西藏自治区       | 2  |    18
 540000   | 西藏自治区       | 3  |    19
 540000   | 西藏自治区       | 4  |   284
 540000   | 西藏自治区       | 5  |  1442
 610000   | 陕西省           | 1  |     2
 610000   | 陕西省           | 2  |   130
 610000   | 陕西省           | 3  |   459
 610000   | 陕西省           | 4  |  1901
 610000   | 陕西省           | 5  |  8698
 620000   | 甘肃省           | 1  |    11
 620000   | 甘肃省           | 2  |   106
 620000   | 甘肃省           | 3  |   306
 620000   | 甘肃省           | 4  |   908
 620000   | 甘肃省           | 5  |  6361
 630000   | 青海省           | 1  |     4
 630000   | 青海省           | 2  |    47
 630000   | 青海省           | 3  |   123
 630000   | 青海省           | 4  |   313
 630000   | 青海省           | 5  |  2329
 640000   | 宁夏回族自治区   | 2  |    61
 640000   | 宁夏回族自治区   | 3  |   228
 640000   | 宁夏回族自治区   | 4  |  1682
 640000   | 宁夏回族自治区   | 5  |  3663
 650000   | 新疆维吾尔自治区 | 1  |     7
 650000   | 新疆维吾尔自治区 | 2  |    98
 650000   | 新疆维吾尔自治区 | 3  |   450
 650000   | 新疆维吾尔自治区 | 4  |  2482
 650000   | 新疆维吾尔自治区 | 5  | 12028
 810000   | 香港特别行政区   | 1  |    30
 810000   | 香港特别行政区   | 2  |     3
 810000   | 香港特别行政区   | 3  |   220
 810000   | 香港特别行政区   | 4  |  1314
 810000   | 香港特别行政区   | 5  |  2565
 820000   | 澳门特别行政区   | 4  |    82
 820000   | 澳门特别行政区   | 5  |   111

