tollcost_id:58, prn:13, road_type:B, name:按道路收费, alias:. 
tollcost_id:839, prn:32, road_type:N, name:Ｓ８６镇江支线, alias:. 
tollcost_id:840, prn:32, road_type:N, name:宁连公路, alias:２０５国道. 
tollcost_id:843, prn:32, road_type:N, name:１２１省道, alias:１６６县道. 
tollcost_id:846, prn:32, road_type:N, name:３２７省道, alias:３２９省道. 
tollcost_id:851, prn:32, road_type:N, name:２２６省道, alias:. 
tollcost_id:861, prn:32, road_type:N, name:苏州绕城高速, alias:甪直枢纽. 
tollcost_id:895, prn:52, road_type:N, name:Ｓ５５绕城高速, alias:. 
tollcost_id:900, prn:52, road_type:N, name:Ｓ８６安普高速, alias:. 
tollcost_id:912, prn:52, road_type:N, name:黔大高速, alias:. 
tollcost_id:917, prn:52, road_type:N, name:三黎高速, alias:. 
tollcost_id:921, prn:52, road_type:N, name:Ｓ６２余安高速联接线, alias:. 
tollcost_id:934, prn:50, road_type:N, name:万开高速, alias:. 
tollcost_id:939, prn:50, road_type:N, name:Ｓ２２万达高速, alias:. 
tollcost_id:1001, prn:65, road_type:N, name:Ｇ３０１２吐和高速, alias:３１４国道. 
tollcost_id:1007, prn:65, road_type:N, name:Ｇ３０连霍高速, alias:乌奎高速｜３１２国道. 
tollcost_id:1011, prn:65, road_type:N, name:麦喀高速, alias:. 
tollcost_id:1012, prn:65, road_type:N, name:三莎高速, alias:. 
tollcost_id:1021, prn:14, road_type:N, name:Ｇ５５二广高速, alias:Ｓ７５侯平高速. 
tollcost_id:1044, prn:14, road_type:N, name:Ｓ８５河运高速, alias:. 
tollcost_id:1046, prn:14, road_type:N, name:Ｓ２０榆商高速, alias:. 
tollcost_id:1048, prn:14, road_type:N, name:Ｇ５９呼北高速, alias:Ｓ８５河运高速. 
tollcost_id:1072, prn:53, road_type:N, name:Ｇ７８汕昆高速, alias:３２６国道. 
tollcost_id:1077, prn:53, road_type:N, name:高海高速, alias:. 
tollcost_id:1078, prn:53, road_type:N, name:红河大道, alias:３２６国道. 
tollcost_id:1081, prn:53, road_type:N, name:绕城高速, alias:. 
tollcost_id:1087, prn:53, road_type:N, name:昆明绕城高速, alias:. 
tollcost_id:1117, prn:21, road_type:N, name:Ｓ３２６新单高速, alias:. 
tollcost_id:1126, prn:12, road_type:N, name:Ｓ６津沧高速, alias:大张屯互通. 
tollcost_id:1149, prn:41, road_type:N, name:１０７国道, alias:. 
tollcost_id:1158, prn:41, road_type:N, name:３１１国道, alias:. 
tollcost_id:1173, prn:41, road_type:N, name:洛栾高速, alias:. 
tollcost_id:1174, prn:41, road_type:N, name:Ｓ５９三淅高速, alias:Ｇ５９呼北高速. 
tollcost_id:1231, prn:34, road_type:N, name:３０３省道, alias:. 
tollcost_id:1232, prn:34, road_type:N, name:１０１省道, alias:. 
tollcost_id:1234, prn:34, road_type:N, name:Ｓ２９祁浮高速, alias:. 
tollcost_id:1285, prn:61, road_type:N, name:西咸北环线高速, alias:. 
tollcost_id:1289, prn:45, road_type:N, name:Ｇ５２来马高速, alias:来马高速. 
tollcost_id:1290, prn:45, road_type:N, name:Ｓ４０苍硕高速, alias:苍硕高速. 
tollcost_id:1291, prn:44, road_type:N, name:Ｇ６５包茂高速, alias:包茂高速. 
tollcost_id:1292, prn:44, road_type:N, name:Ｓ２３惠大高速, alias:惠大高速. 
tollcost_id:1293, prn:51, road_type:N, name:Ｇ４２０２成都第二绕城高速, alias:成都第二绕城高速. 
tollcost_id:1294, prn:32, road_type:N, name:Ｓ８５常溧高速, alias:常溧高速. 
tollcost_id:1298, prn:62, road_type:N, name:Ｇ７０１１十天高速, alias:十天高速. 
tollcost_id:1308, prn:13, road_type:N, name:玉滨公路, alias:. 
tollcost_id:1309, prn:13, road_type:N, name:祺光路, alias:. 
tollcost_id:1310, prn:33, road_type:N, name:１１０县道, alias:. 
tollcost_id:1312, prn:33, road_type:N, name:２１７省道, alias:. 
tollcost_id:1313, prn:33, road_type:N, name:１０３省道, alias:. 
tollcost_id:1319, prn:42, road_type:N, name:２５４省道, alias:. 
tollcost_id:1321, prn:44, road_type:N, name:Ｇ４Ｗ２许广高速, alias:Ｓ１１０广清高速｜３５４省道. 
tollcost_id:1325, prn:61, road_type:N, name:大石公路, alias:. 
tollcost_id:1331, prn:52, road_type:N, name:贵黔高速, alias:. 
tollcost_id:1365, prn:37, road_type:N, name:济馆高速, alias:聊城西立交. 
tollcost_id:1369, prn:37, road_type:N, name:Ｇ３Ｗ德上高速, alias:德上高速. 
tollcost_id:1370, prn:37, road_type:N, name:２０６国道, alias:. 
tollcost_id:1371, prn:37, road_type:N, name:３０２省道, alias:. 
tollcost_id:1376, prn:53, road_type:N, name:宣天一级公路, alias:. 
tollcost_id:1377, prn:53, road_type:N, name:江通公路, alias:２１４省道. 
tollcost_id:1379, prn:63, road_type:N, name:Ｇ３１５国道, alias:. 
tollcost_id:1383, prn:62, road_type:N, name:２０９省道, alias:. 
tollcost_id:1386, prn:33, road_type:N, name:１０８县道, alias:平黎线. 
tollcost_id:1390, prn:32, road_type:N, name:苏嘉路, alias:２０２省道｜０７省道. 
tollcost_id:1391, prn:32, road_type:N, name:同黎线, alias:. 
tollcost_id:1392, prn:32, road_type:N, name:锡太公路, alias:. 
tollcost_id:1393, prn:37, road_type:N, name:３４２省道, alias:１０４省道. 
tollcost_id:1394, prn:37, road_type:N, name:１０４国道, alias:. 
tollcost_id:1395, prn:37, road_type:N, name:３２７国道, alias:. 
tollcost_id:1398, prn:65, road_type:N, name:２１７国道, alias:２１０省道. 
tollcost_id:1399, prn:53, road_type:N, name:Ｓ１７麒泸高速, alias:曲陆高速. 
tollcost_id:1407, prn:51, road_type:N, name:绵广高速二专线, alias:１０８国道. 
tollcost_id:1420, prn:44, road_type:N, name:Ｓ８广佛肇高速, alias:广梧高速. 
tollcost_id:59, prn:13, road_type:T, name:按道路收费, alias:. 
tollcost_id:185, prn:36, road_type:T, name:按道路收费, alias:. 
tollcost_id:210, prn:62, road_type:T, name:按道路收费, alias:. 
tollcost_id:236, prn:11, road_type:T, name:按道路收费, alias:. 
tollcost_id:258, prn:23, road_type:T, name:按道路收费, alias:. 
tollcost_id:362, prn:43, road_type:T, name:排沙坪隧道, alias:. 
tollcost_id:364, prn:43, road_type:T, name:姜源岭隧道｜通平高速, alias:. 
tollcost_id:434, prn:42, road_type:T, name:武汉长江隧道, alias:. 
tollcost_id:562, prn:44, road_type:T, name:按道路收费, alias:. 
tollcost_id:674, prn:51, road_type:T, name:鹧鸪山隧道, alias:. 
tollcost_id:743, prn:61, road_type:T, name:明垭子隧道, alias:. 
tollcost_id:744, prn:61, road_type:T, name:秦岭终南山公路隧道｜Ｇ６９银百高速｜西柞高速, alias:. 
tollcost_id:750, prn:61, road_type:T, name:鄂陕界隧道, alias:. 
tollcost_id:780, prn:15, road_type:T, name:按道路收费, alias:. 
tollcost_id:804, prn:22, road_type:T, name:按道路收费, alias:. 
tollcost_id:925, prn:52, road_type:T, name:按道路收费, alias:. 
tollcost_id:1015, prn:65, road_type:T, name:按道路收费, alias:. 
tollcost_id:1092, prn:53, road_type:T, name:按道路收费, alias:. 
tollcost_id:1119, prn:21, road_type:T, name:按道路收费, alias:. 
tollcost_id:1141, prn:12, road_type:T, name:按道路收费, alias:. 
tollcost_id:1207, prn:41, road_type:T, name:登封朝阳沟隧道, alias:. 
tollcost_id:1208, prn:41, road_type:T, name:樊营隧道, alias:. 
tollcost_id:1295, prn:32, road_type:T, name:按道路收费, alias:. 
tollcost_id:401, prn:42, road_type:N, name:Ｓ６３老石高速, alias:. 
tollcost_id:1089, prn:53, road_type:N, name:Ｇ５６Ｓ杭瑞高速, alias:. 
tollcost_id:4, prn:13, road_type:N, name:Ｇ１Ｎ京秦高速, alias:. 
tollcost_id:8, prn:13, road_type:N, name:Ｇ２５长深高速, alias:唐津高速. 
tollcost_id:1143, prn:41, road_type:N, name:Ｇ５５二广高速, alias:晋济高速. 
